28A6	0006	0006
09FA	0006	0006
2745	0006	0006
0975	0006	0006
0814	0006	0006
0820	0006	0006
16C6	0006	0006
10A8	0006	0006
1099	0006	0006
0FBD	0006	0006
10B8	0006	0006
122A	0006	0006
0D48	0006	0006
11C9	0006	0006
04A6	0006	0006
2622	0006	0006
13DA	0020	0020
19E8	0020	0020
1975	0020	0020
1A07	0020	0020
1AE2	0020	0020
1AC7	0020	0020
1B8D	0020	0020
18E3	0020	0020
18CA	0020	0020
188A	0020	0020
192E	0020	0020
13FF	0020	0020
1422	0020	0020
193A	0020	0020
1B95	0020	0020
1CFE	0020	0020
1CC7	0020	0020
1CA7	0020	0020
1D28	0020	0020
1DAD	0020	0020
1DA8	0020	0020
1D5E	0020	0020
1C91	0020	0020
1BBD	0020	0020
1BAF	0020	0020
13CA	0020	0020
1C06	0020	0020
1C82	0020	0020
1C58	0020	0020
1C11	0020	0020
185E	0020	0020
153C	0020	0020
1696	0020	0020
168A	0020	0020
16F9	0020	0020
14ED	0020	0020
1728	0020	0020
152D	0020	0020
1654	0020	0020
1602	0020	0020
15F7	0020	0020
15BD	0020	0020
161D	0020	0020
1647	0020	0020
157D	0020	0020
1590	0020	0020
1736	0020	0020
17EF	0020	0020
17E6	0020	0020
145A	0020	0020
17FA	0020	0020
1857	0020	0020
184E	0020	0020
1826	0020	0020
17BC	0020	0020
14D6	0020	0020
1799	0020	0020
1757	0020	0020
17A9	0020	0020
17B8	0020	0020
1486	0020	0020
14B4	0020	0020
28DA	0020	0020
29C9	0020	0020
284A	0020	0020
2893	0020	0020
2A25	0020	0020
2A66	0020	0020
29CC	0020	0020
2A09	0020	0020
27F5	0020	0020
2558	0020	0020
260A	0020	0020
24AD	0020	0020
24FE	0020	0020
269D	0020	0020
27D0	0020	0020
265A	0020	0020
2694	0020	0020
2AB6	0020	0020
3343	0020	0020
337A	0020	0020
331D	0020	0020
3335	0020	0020
3437	0020	0020
3685	0020	0020
33E4	0020	0020
